'SPINK1','TGFBR2','FGFR2','MLH1','BCL2','VHL','EGFR','KDR','HAVCR2','CTLA4','CDKN2A','KRAS','TGFB1','ITGA2','CMPK1','APC','ACTR2','ERBB2','PDCD1','PFN1','GPC3','TACSTD2','CDH17','MYC','CCND1','TP53','COPS5','CEACAM5'
11.318,12.721,10.063,9.5535,6.7625,10.305,8.6006,8.1417,7.1247,4.6981,7.5327,10.525,9.1782,11.097,13.427,8.7027,12.968,12.696,3.5017,13.017,4.2534,4.3171,13.789,12.213,12.498,10.503,10.191,16.541
12.068,10.926,4.4302,10.312,6.1596,9.2709,7.2503,7.5842,7.9694,5.7512,5.4457,9.3247,9.5162,10.835,12.555,7.4693,12.057,11.423,4.853,15.244,9.1752,9.3181,12.835,12.149,11.09,11.195,10.881,15.432
14.729,10.156,9.1169,8.2679,7.8163,8.6764,7.6843,6.4651,4.9598,3.0926,5.8637,8.9987,8.2749,8.459,12.087,5.2724,11.565,11.99,4.4649,15.18,6.4651,11.058,13.032,12.646,11.701,11.958,11.255,16.304
7.8565,9.7302,8.2283,6.6582,7.7278,9.6237,8.1745,7.5532,8.7504,6.1113,6.8491,9.778,11.488,9.9861,11.759,8.6355,12.335,12.396,7.439,14.8,4.5222,11.326,13.758,11.967,11.715,11.681,10.068,16.187
12.837,10.971,7.8596,8.9887,6.223,9.1097,6.7835,7.7274,7.1502,5.798,6.4071,11.239,9.3729,11.255,12.877,8.3997,12.784,11.58,4.0222,14.783,6.8658,10.891,13.994,11.997,11.319,11.723,10.954,16.265
10.451,11.185,8.5931,9.701,7.7649,9.3795,7.9226,8.5244,7.8939,7.3335,6.665,10.677,10.777,10.67,12.63,8.7656,12.961,11.566,5.205,14.731,5.2956,8.1278,13.041,12.149,12.294,11.608,10.358,14.853
10.488,11.208,7.3268,9.0637,6.416,9.6289,8.3327,7.9087,8.1093,5.2031,7.5918,8.8705,11.118,10.241,11.579,6.7617,11.348,11.973,5.0605,14.659,7.1502,11.255,12.717,12.433,11.884,11.432,10.308,15.833
11.122,10.989,8.2248,8.9258,6.5352,9.2596,8.6671,8.7339,7.5202,4.2041,8.7057,8.7525,10.898,10.269,11.23,8.051,11.839,12.279,4.6354,15.265,6.2866,9.0829,13.09,12.644,11.862,12.767,10.14,17.274
11.012,11.332,6.5437,9.1437,5.5084,9.5195,7.7548,7.7476,5.8445,4.8694,6.7759,9.7498,9.3207,10.093,12.106,8.582,12.542,12.625,6.9758,13.935,11.477,11.928,14.374,11.886,11.833,11.349,10.882,15.697
13.43,10.817,5.9991,9.0165,7.5139,8.9017,8.8035,8.0555,8.0051,6.3073,6.4313,9.8645,10.363,11.349,11.779,8.1769,12.671,12.001,5.976,14.656,5.3792,5.8291,13.501,12.758,12.436,9.3928,10.207,17.272
